date,the_day_ahead_eur_mwh,split
2025-01-02,50.75,historical_backtest
2025-01-03,50.17,historical_backtest
2025-01-06,47.92,historical_backtest
2025-01-07,48.53,historical_backtest
2025-01-08,46.46,historical_backtest
2025-01-09,45.99,historical_backtest
2025-01-10,46.55,historical_backtest
2025-01-13,49.74,historical_backtest
2025-01-14,48.27,historical_backtest
2025-01-15,48.14,historical_backtest
2025-01-16,47.57,historical_backtest
2025-01-17,48.09,historical_backtest
2025-01-20,49.62,historical_backtest
2025-01-21,51.15,historical_backtest
2025-01-22,49.87,historical_backtest
2025-01-23,50.03,historical_backtest
2025-01-24,50.52,historical_backtest
2025-01-27,48.66,historical_backtest
2025-01-28,49.15,historical_backtest
2025-01-29,52.09,historical_backtest
2025-01-30,52.78,historical_backtest
2025-01-31,54.09,historical_backtest
2025-02-03,54.77,historical_backtest
2025-02-04,53.09,historical_backtest
2025-02-05,54.56,historical_backtest
2025-02-06,55.31,historical_backtest
2025-02-07,56.59,historical_backtest
2025-02-10,59.24,historical_backtest
2025-02-11,58.54,historical_backtest
2025-02-12,56.9,historical_backtest
2025-02-13,52.63,historical_backtest
2025-02-14,52.32,historical_backtest
2025-02-17,49.77,historical_backtest
2025-02-18,51.1,historical_backtest
2025-02-19,49.46,historical_backtest
2025-02-20,48.62,historical_backtest
2025-02-21,47.72,historical_backtest
2025-02-24,48.01,historical_backtest
2025-02-25,44.93,historical_backtest
2025-02-26,42.29,historical_backtest
2025-02-27,46.32,historical_backtest
2025-02-28,45.69,historical_backtest
2025-03-03,46.44,historical_backtest
2025-03-04,44.67,historical_backtest
2025-03-05,42.31,historical_backtest
2025-03-06,38.95,historical_backtest
2025-03-07,40.83,historical_backtest
2025-03-10,42.4,historical_backtest
2025-03-11,44.22,historical_backtest
2025-03-12,43.49,historical_backtest
2025-03-13,42.63,historical_backtest
2025-03-14,43.51,historical_backtest
2025-03-17,43.02,historical_backtest
2025-03-18,42.13,historical_backtest
2025-03-19,44.31,historical_backtest
2025-03-20,43.28,historical_backtest
2025-03-21,43.48,historical_backtest
2025-03-24,43.55,historical_backtest
2025-03-25,42.54,historical_backtest
2025-03-26,42.0,historical_backtest
2025-03-27,42.23,historical_backtest
2025-03-28,41.39,historical_backtest
2025-03-31,41.78,historical_backtest
2025-04-01,43.38,historical_backtest
2025-04-02,41.98,historical_backtest
2025-04-03,39.98,historical_backtest
2025-04-04,38.04,historical_backtest
2025-04-07,37.56,historical_backtest
2025-04-08,37.47,historical_backtest
2025-04-09,35.44,historical_backtest
2025-04-10,34.62,historical_backtest
2025-04-11,34.82,historical_backtest
2025-04-14,35.66,historical_backtest
2025-04-15,35.25,historical_backtest
2025-04-16,36.5,historical_backtest
2025-04-17,36.43,historical_backtest
2025-04-22,34.89,historical_backtest
2025-04-23,34.89,historical_backtest
2025-04-24,34.27,historical_backtest
2025-04-25,33.08,historical_backtest
2025-04-28,32.69,historical_backtest
2025-04-29,32.31,historical_backtest
2025-04-30,32.5,historical_backtest
2025-05-02,33.43,historical_backtest
2025-05-05,33.43,historical_backtest
2025-05-06,35.4,historical_backtest
2025-05-07,35.18,historical_backtest
2025-05-08,36.08,historical_backtest
2025-05-09,35.39,historical_backtest
2025-05-12,36.04,historical_backtest
2025-05-13,36.26,historical_backtest
2025-05-14,35.35,historical_backtest
2025-05-15,36.02,historical_backtest
2025-05-16,35.87,historical_backtest
2025-05-19,35.72,historical_backtest
2025-05-20,37.89,historical_backtest
2025-05-21,37.4,historical_backtest
2025-05-22,37.19,historical_backtest
2025-05-23,37.22,historical_backtest
2025-05-26,37.22,historical_backtest
2025-05-27,37.49,historical_backtest
2025-05-28,37.29,historical_backtest
2025-05-29,35.68,historical_backtest
2025-05-30,34.73,historical_backtest
2025-06-02,35.62,historical_backtest
2025-06-03,36.42,historical_backtest
2025-06-04,36.32,historical_backtest
2025-06-05,37.04,historical_backtest
2025-06-06,36.82,historical_backtest
2025-06-09,36.24,historical_backtest
2025-06-10,35.6,historical_backtest
2025-06-11,36.58,historical_backtest
2025-06-12,36.9,historical_backtest
2025-06-13,38.15,historical_backtest
2025-06-16,38.57,historical_backtest
2025-06-17,39.76,historical_backtest
2025-06-18,39.53,historical_backtest
2025-06-19,42.34,historical_backtest
2025-06-20,41.57,historical_backtest
2025-06-23,41.15,historical_backtest
2025-06-24,36.33,historical_backtest
2025-06-25,36.31,historical_backtest
2025-06-26,34.66,historical_backtest
2025-06-27,33.97,historical_backtest
2025-06-30,33.72,historical_backtest
2025-07-01,34.39,historical_backtest
2025-07-02,34.06,historical_backtest
2025-07-03,34.18,historical_backtest
2025-07-04,33.83,historical_backtest
2025-07-07,34.29,historical_backtest
2025-07-08,35.15,historical_backtest
2025-07-09,35.22,historical_backtest
2025-07-10,35.58,historical_backtest
2025-07-11,36.08,historical_backtest
2025-07-14,35.99,historical_backtest
2025-07-15,35.54,historical_backtest
2025-07-16,35.72,historical_backtest
2025-07-17,35.59,historical_backtest
2025-07-18,34.48,historical_backtest
2025-07-21,34.15,historical_backtest
2025-07-22,34.33,historical_backtest
2025-07-23,33.94,historical_backtest
2025-07-24,33.51,historical_backtest
2025-07-25,33.42,historical_backtest
2025-07-28,33.75,historical_backtest
2025-07-29,35.1,historical_backtest
2025-07-30,35.59,historical_backtest
2025-07-31,35.5,historical_backtest
2025-08-01,34.05,historical_backtest
2025-08-04,34.22,historical_backtest
2025-08-05,34.34,historical_backtest
2025-08-06,33.53,historical_backtest
2025-08-07,33.19,historical_backtest
2025-08-08,32.52,historical_backtest
2025-08-11,33.12,historical_backtest
2025-08-12,32.59,historical_backtest
2025-08-13,33.29,historical_backtest
2025-08-14,32.69,historical_backtest
2025-08-15,31.54,historical_backtest
2025-08-18,31.52,historical_backtest
2025-08-19,31.61,historical_backtest
2025-08-20,32.79,historical_backtest
2025-08-21,33.91,historical_backtest
2025-08-22,33.88,historical_backtest
2025-08-25,33.88,historical_backtest
2025-08-26,33.87,historical_backtest
2025-08-27,32.89,historical_backtest
2025-08-28,31.89,historical_backtest
2025-08-29,31.72,historical_backtest
2025-09-01,32.47,historical_backtest
2025-09-02,32.23,historical_backtest
2025-09-03,32.04,historical_backtest
2025-09-04,32.44,historical_backtest
2025-09-05,31.96,historical_backtest
2025-09-08,33.41,historical_backtest
2025-09-09,33.49,historical_backtest
2025-09-10,33.44,historical_backtest
2025-09-11,32.18,historical_backtest
2025-09-12,32.68,historical_backtest
2025-09-15,31.92,historical_backtest
2025-09-16,32.31,historical_backtest
2025-09-17,32.25,historical_backtest
2025-09-18,32.71,historical_backtest
2025-09-19,32.18,historical_backtest
2025-09-22,32.35,historical_backtest
2025-09-23,33.29,historical_backtest
2025-09-24,32.58,historical_backtest
2025-09-25,33.32,historical_backtest
2025-09-26,32.81,historical_backtest
2025-09-29,32.66,historical_backtest
2025-09-30,32.37,historical_backtest
2025-10-01,32.31,historical_backtest
2025-10-02,31.57,historical_backtest
2025-10-03,31.46,historical_backtest
2025-10-06,34.24,historical_backtest
2025-10-07,34.3,historical_backtest
2025-10-08,33.5,historical_backtest
2025-10-09,33.09,historical_backtest
2025-10-10,33.25,historical_backtest
2025-10-13,32.82,historical_backtest
2025-10-14,32.91,historical_backtest
2025-10-15,33.03,historical_backtest
2025-10-16,33.66,historical_backtest
2025-10-17,32.75,historical_backtest
2025-10-20,32.41,historical_backtest
2025-10-21,33.34,historical_backtest
2025-10-22,32.66,historical_backtest
2025-10-23,33.31,historical_backtest
2025-10-24,33.18,historical_backtest
2025-10-27,32.38,historical_backtest
2025-10-28,32.77,historical_backtest
2025-10-29,32.75,historical_backtest
2025-10-30,32.06,historical_backtest
2025-10-31,31.73,historical_backtest
2025-11-03,32.48,historical_backtest
2025-11-04,33.39,historical_backtest
2025-11-05,32.92,historical_backtest
2025-11-06,32.95,historical_backtest
2025-11-07,32.61,historical_backtest
2025-11-10,32.24,historical_backtest
2025-11-11,32.35,historical_backtest
2025-11-12,31.66,historical_backtest
2025-11-13,31.62,historical_backtest
2025-11-14,32.31,historical_backtest
2025-11-17,32.87,historical_backtest
2025-11-18,33.13,historical_backtest
2025-11-19,32.44,historical_backtest
2025-11-20,32.66,historical_backtest
2025-11-21,31.97,historical_backtest
2025-11-24,31.57,historical_backtest
2025-11-25,31.19,historical_backtest
2025-11-26,31.14,historical_backtest
2025-11-27,30.61,historical_backtest
2025-11-28,30.35,historical_backtest
2025-12-01,29.96,historical_backtest
2025-12-02,29.74,historical_backtest
2025-12-03,30.1,historical_backtest
2025-12-04,28.79,historical_backtest
2025-12-05,28.23,historical_backtest
2025-12-08,27.76,historical_backtest
2025-12-09,28.56,historical_backtest
2025-12-10,28.16,historical_backtest
2025-12-11,28.37,historical_backtest
2025-12-12,28.97,historical_backtest
2025-12-15,28.96,historical_backtest
2025-12-16,28.35,historical_backtest
2025-12-17,28.66,historical_backtest
2025-12-18,28.81,historical_backtest
2025-12-19,29.69,historical_backtest
2025-12-22,29.3,historical_backtest
2025-12-23,29.61,historical_backtest
2025-12-24,29.95,historical_backtest
2025-12-29,30.47,historical_backtest
2025-12-30,29.49,historical_backtest
2025-12-31,30.045,historical_backtest
2026-01-02,30.84,historical_backtest
2026-01-05,29.37,historical_backtest
2026-01-06,30.12,historical_backtest
2026-01-07,30.93,historical_backtest
2026-01-08,30.1,historical_backtest
2026-01-09,30.52,historical_backtest
2026-01-12,32.67,historical_backtest
2026-01-13,33.56,historical_backtest
2026-01-14,33.97,historical_backtest
2026-01-15,35.61,historical_backtest
2026-01-16,39.85,historical_backtest
2026-01-19,38.61,historical_backtest
2026-01-20,38.78,historical_backtest
2026-01-21,42.84,historical_backtest
2026-01-22,40.95,historical_backtest
2026-01-23,42.52,historical_backtest
2026-01-26,41.68,historical_backtest
2026-01-27,41.06,historical_backtest
2026-01-28,40.7,historical_backtest
2026-01-29,41.99,historical_backtest
2026-01-30,42.66,historical_backtest
2026-02-02,37.27,historical_backtest
2026-02-03,36.81,historical_backtest
2026-02-04,37.63,historical_backtest
2026-02-05,36.52,historical_backtest
2026-02-06,38.74,historical_backtest
2026-02-09,36.5,historical_backtest
2026-02-10,34.3,historical_backtest
2026-02-11,34.63,historical_backtest
2026-02-12,35.38,historical_backtest
2026-02-13,35.26,historical_backtest
2026-02-16,33.96,historical_backtest
2026-02-17,32.9,historical_backtest
2026-02-18,34.04,historical_backtest
2026-02-19,35.51,historical_backtest
2026-02-20,33.43,historical_backtest
2026-02-23,33.43,historical_backtest
2026-02-24,32.42,historical_backtest
2026-02-25,32.08,historical_backtest
2026-02-26,32.96,historical_backtest
2026-02-27,32.7,historical_backtest
2026-03-02,44.0,historical_backtest
2026-03-03,53.98,historical_backtest
2026-03-04,48.35,historical_backtest
2026-03-05,50.5,historical_backtest
2026-03-06,52.31,historical_backtest
2026-03-09,56.37,historical_backtest
2026-03-10,47.41,historical_backtest
2026-03-11,49.52,historical_backtest
2026-03-13,50.78,historical_backtest
2026-03-16,51.66,historical_backtest
2026-03-17,52.06,historical_backtest
2026-03-18,55.0,historical_backtest
2026-03-19,62.49,historical_backtest
2026-03-20,59.41,historical_backtest
2026-03-23,57.69,historical_backtest
2026-03-24,54.44,historical_backtest
