date,the_day_ahead_eur_mwh,split
2022-02-23,89.6,calibration
2022-02-24,126.67,calibration
2022-02-25,91.8,calibration
2022-02-26,91.8,calibration
2022-02-27,91.8,calibration
2022-02-28,99.04,calibration
2022-03-01,123.92,calibration
2022-03-02,176.06,calibration
2022-03-03,153.46,calibration
2022-03-04,190.77,calibration
2022-03-05,190.77,calibration
2022-03-06,190.77,calibration
2022-03-07,219.47,calibration
2022-03-08,209.88,calibration
2022-03-09,149.67,calibration
2022-03-10,121.35,calibration
2022-03-11,128.85,calibration
2022-03-12,128.85,calibration
2022-03-13,128.85,calibration
2022-03-14,109.8,calibration
2022-03-15,110.59,calibration
2022-03-16,97.52,calibration
2022-03-17,102.36,calibration
2022-03-18,98.42,calibration
2022-03-19,98.42,calibration
2022-03-20,98.42,calibration
2022-03-21,92.4,calibration
2022-03-22,94.39,calibration
2022-03-23,112.42,calibration
2022-03-24,101.24,calibration
2022-03-25,97.52,calibration
2022-03-26,97.52,calibration
2022-03-27,97.52,calibration
2022-03-28,101.77,calibration
2022-03-29,107.79,calibration
2022-03-30,116.44,calibration
2022-03-31,125.61,calibration
2022-04-01,112.09,calibration
2022-04-02,112.09,calibration
2022-04-03,112.09,calibration
2022-04-04,111.2,calibration
2022-04-05,108.53,calibration
2022-04-06,106.16,calibration
2022-04-07,103.45,calibration
2022-04-08,103.56,calibration
2022-04-09,103.56,calibration
2022-04-10,103.56,calibration
2022-04-11,101.03,calibration
2022-04-12,103.09,calibration
2022-04-13,104.32,calibration
2022-04-14,90.55,calibration
2022-04-15,90.55,calibration
2022-04-16,90.55,calibration
2022-04-17,90.55,calibration
2022-04-18,90.55,calibration
2022-04-19,92.26,calibration
2022-04-20,92.43,calibration
2022-04-21,97.94,calibration
2022-04-22,92.16,calibration
2022-04-23,92.16,calibration
2022-04-24,92.16,calibration
2022-04-25,93.75,calibration
2022-04-26,98.06,calibration
2022-04-27,106.15,calibration
2022-04-28,99.18,calibration
2022-04-29,96.53,calibration
2022-04-30,96.53,calibration
2022-05-01,96.53,calibration
2022-05-02,96.53,calibration
2022-05-03,97.37,calibration
2022-05-04,101.81,calibration
2022-05-05,99.23,calibration
2022-05-06,88.64,calibration
2022-05-07,88.64,calibration
2022-05-08,88.64,calibration
2022-05-09,83.83,calibration
2022-05-10,83.93,calibration
2022-05-11,82.08,calibration
2022-05-12,92.46,calibration
2022-05-13,91.47,calibration
