date,ngc_the_eur_mwh,split
2016-01-01,14.61,calibration
2016-02-01,12.97,calibration
2016-03-01,12.55,calibration
2016-04-01,12.19,calibration
2016-05-01,13.02,calibration
2016-06-01,14.42,calibration
2016-07-01,14.3,calibration
2016-08-01,12.08,calibration
2016-09-01,12.42,calibration
2016-10-01,15.95,calibration
2016-11-01,18.11,calibration
2016-12-01,17.86,calibration
2017-01-01,20.47,calibration
2017-02-01,20.17,calibration
2017-03-01,16.31,calibration
2017-04-01,16.29,calibration
2017-05-01,15.95,calibration
2017-06-01,15.41,calibration
2017-07-01,15.17,calibration
2017-08-01,16.0,calibration
2017-09-01,17.18,calibration
2017-10-01,17.39,calibration
2017-11-01,19.58,calibration
2017-12-01,20.87,calibration
2018-01-01,18.8,calibration
2018-02-01,20.41,calibration
2018-03-01,23.88,calibration
2018-04-01,19.52,calibration
2018-05-01,21.55,calibration
2018-06-01,21.94,calibration
2018-07-01,22.23,calibration
2018-08-01,23.69,calibration
2018-09-01,27.71,calibration
2018-10-01,26.08,calibration
2018-11-01,24.89,calibration
2018-12-01,24.22,calibration
2019-01-01,22.33,calibration
2019-02-01,18.81,calibration
2019-03-01,16.51,calibration
2019-04-01,15.83,calibration
2019-05-01,14.12,calibration
2019-06-01,10.65,calibration
2019-07-01,11.15,calibration
2019-08-01,10.32,calibration
2019-09-01,9.78,calibration
2019-10-01,10.46,calibration
2019-11-01,14.74,calibration
2019-12-01,13.63,calibration
2020-01-01,11.84,calibration
2020-02-01,9.93,calibration
2020-03-01,9.05,calibration
2020-04-01,7.09,calibration
2020-05-01,5.12,calibration
2020-06-01,4.95,calibration
2020-07-01,5.14,calibration
2020-08-01,7.23,calibration
2020-09-01,10.58,calibration
2020-10-01,13.67,calibration
2020-11-01,13.67,calibration
2020-12-01,15.89,calibration
2021-01-01,20.05,calibration
2021-02-01,17.86,calibration
2021-03-01,18.03,calibration
2021-04-01,20.76,calibration
2021-05-01,25.25,calibration
2021-06-01,28.75,calibration
2021-07-01,35.92,calibration
2021-08-01,43.65,calibration
2021-09-01,62.42,calibration
2021-10-01,90.94,calibration
2021-11-01,81.02,calibration
2021-12-01,117.19,calibration
2022-01-01,84.82,calibration
2022-02-01,81.06,calibration
2022-03-01,130.98,calibration
2022-04-01,103.61,calibration
2022-05-01,90.24,calibration
2022-06-01,104.8,calibration
2022-07-01,170.41,calibration
2022-08-01,235.18,calibration
2022-09-01,193.33,calibration
2022-10-01,83.26,calibration
2022-11-01,92.65,calibration
2022-12-01,118.8,calibration
2023-01-01,64.06,calibration
2023-02-01,54.29,calibration
2023-03-01,45.23,calibration
2023-04-01,43.78,calibration
2023-05-01,32.29,calibration
2023-06-01,31.77,calibration
2023-07-01,30.09,calibration
2023-08-01,33.41,calibration
2023-09-01,36.42,calibration
2023-10-01,43.22,calibration
2023-11-01,43.81,calibration
2023-12-01,36.18,calibration
2024-01-01,30.51,calibration
2024-02-01,26.09,calibration
2024-03-01,26.72,calibration
2024-04-01,29.07,calibration
2024-05-01,31.4,calibration
2024-06-01,34.34,calibration
2024-07-01,32.12,calibration
2024-08-01,37.51,calibration
2024-09-01,36.3,calibration
2024-10-01,40.66,calibration
2024-11-01,44.81,calibration
2024-12-01,45.74,calibration
